material,lat (AA),rS_A (AA),rP_A (AA),rS_B (AA),rP_B (AA),Z_A (e),Z_B (e),HOMO_A (eV),LUMO_A (eV),EA_A (eV),IP_A (eV),EN_A (eV),HOMO_B (eV),LUMO_B (eV),EA_B (eV),IP_B (eV),EN_B (eV)
LiBiO3,4.13789387,1.68680,2.09990,0.99410,1.31290,3,83,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.706546707306,-4.706546868874,-1.846753393810,7.964551439414,3.058899022802
NaAlO3,3.70841622,1.79480,2.70420,1.10410,1.43130,11,13,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-2.547095300306,-2.547095387743,-0.308077870308,5.449666311380,2.570794220536
NaTiO3,3.84537756,1.79480,2.70420,1.54120,2.08940,11,22,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.667603032050,-3.667603157952,-0.021725201808,7.552223574011,3.765249186102
NaVO3,3.71039972,1.79480,2.70420,1.45970,2.04700,11,23,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.798406943350,-4.798407108071,-0.664676976192,7.407416209273,3.371369616541
NaCrO3,3.65182790,1.79480,2.70420,1.42470,2.01210,11,24,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.733548486143,-4.733548648638,-1.259830231993,6.979022153017,2.859595960512
NaMnO3,3.62160659,1.79480,2.70420,0.41350,2.18240,11,25,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.333466263373,-0.671345464134,-1.423902065558,6.884430469844,2.730264202143
NaFeO3,3.62919146,1.79480,2.70420,1.39120,2.20810,11,26,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.836619504771,-3.836619636475,-1.415506591628,7.089031766055,2.836762587214
NaCoO3,3.65684695,1.79480,2.70420,1.38110,1.65750,11,27,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.347469515837,-3.347469630750,-1.133799031088,7.525127748251,3.195664358581
NaNiO3,3.69932422,1.79480,2.70420,1.37820,1.61770,11,28,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-2.919817594254,-2.919817694486,-0.680064535054,8.128919800973,3.724427632959
NaCuO3,3.73285814,1.79480,2.70420,1.23610,2.20480,11,29,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.362985932102,-4.362986081876,-1.554935144418,7.534909454159,2.989987154871
NaZnO3,3.82430258,1.79480,2.70420,1.11690,1.78990,11,30,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-6.384766005031,-0.880351142307,1.016686332121,9.995763731659,5.506225031890
NaGaO3,3.84750275,1.79480,2.70420,1.00870,1.37830,11,31,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-2.447267344605,-2.447267428616,-0.221448418066,5.403241923784,2.590896752859
NaGeO3,3.72628737,1.79480,2.70420,0.92390,1.18940,11,32,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.864142063585,-3.864142196235,-0.978668998444,7.285215454342,3.153273227949
NaZrO3,4.12758668,1.79480,2.70420,1.67180,2.26450,11,40,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.230129340890,-3.230129451775,-0.047328544585,7.150603804508,3.551637629961
NaNbO3,3.94328709,1.79480,2.70420,1.58200,2.11090,11,41,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.395561840699,-4.395561991591,-0.969575749518,7.291456922287,3.160940586385
NaMoO3,3.86167011,1.79480,2.70420,1.55920,2.24600,11,42,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.405289070280,-4.405289221506,-1.713307224028,6.693232569522,2.489962672747
NaTcO3,3.81223916,1.79480,2.70420,1.58880,2.13150,11,43,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.015504540133,-3.015504643650,-1.275831727848,7.207933304014,2.966050788083
NaRuO3,3.81413432,1.79480,2.70420,1.55180,2.19700,11,44,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.663439802229,-2.821777985343,-0.586474863883,8.167782092633,3.790653614375
NaRhO3,3.83196730,1.79480,2.70420,1.51700,2.24450,11,45,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.324078823778,-2.720936056224,-0.649048902331,9.152288883026,4.251619990348
NaPdO3,3.90842951,1.79480,2.70420,1.48560,2.29200,11,46,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-5.018246293882,-2.610572297189,-0.200021161260,10.166984187162,4.983481512951
NaAgO3,3.99834376,1.79480,2.70420,1.35140,1.94410,11,47,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.216907058393,-4.216907203152,-1.521159375706,7.251049684650,2.864945154472
NaCdO3,4.11465437,1.79480,2.70420,1.24890,1.89950,11,48,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-6.023736420579,-0.948499811712,1.046403819836,9.367805294123,5.207104556979
NaSnO3,4.04796418,1.79480,2.70420,1.07110,1.37380,11,50,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.693967270914,-3.693967397722,-1.084211366527,6.773509406815,2.844649020144
NaSbO3,3.93079904,1.79480,2.70420,1.00720,1.25160,11,51,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.963183376254,-4.963183546631,-1.964510398835,8.359173003941,3.197331302553
NaTaO3,3.94366551,1.79480,2.70420,1.47300,2.08400,11,73,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.410813983109,-3.410814100196,-0.207862642233,7.364063701622,3.578100529695
NaWO3,3.87560235,1.79480,2.70420,1.41610,2.11260,11,74,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.437043328913,-4.437043481229,-0.922676234942,8.672459941188,3.874891853123
NaPtO3,3.91249523,1.79480,2.70420,1.33610,1.80090,11,78,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-5.316148581053,-4.051110054601,-1.310324277513,10.114267892650,4.401971807568
NaPbO3,4.23377193,1.79480,2.70420,1.04520,1.42350,11,82,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-3.503690269109,-3.503690389384,-0.958997386626,6.476888103509,2.758945358442
NaBiO3,4.15832055,1.79480,2.70420,0.99410,1.31290,11,83,-2.745608481757,-0.680885884050,-0.833944502713,4.972461864550,2.069258680919,-4.706546707306,-4.706546868874,-1.846753393810,7.964551439414,3.058899022802
KAlO3,3.80494363,2.28600,3.16750,1.10410,1.43130,19,13,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-2.547095300306,-2.547095387743,-0.308077870308,5.449666311380,2.570794220536
KTiO3,3.90857500,2.28600,3.16750,1.54120,2.08940,19,22,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.667603032050,-3.667603157952,-0.021725201808,7.552223574011,3.765249186102
KVO3,3.77880832,2.28600,3.16750,1.45970,2.04700,19,23,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.798406943350,-4.798407108071,-0.664676976192,7.407416209273,3.371369616541
KCrO3,3.72448876,2.28600,3.16750,1.42470,2.01210,19,24,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.733548486143,-4.733548648638,-1.259830231993,6.979022153017,2.859595960512
